title,BA_1,BA_2,CB_1,CB_2,AC_1,AC_2,Y
no_act/input_noactivity_1(7),2.322,2.001,7.221,6.033,7.054,6.045,0
no_act/input_noactivity_1(8),2.211,2.067,6.725,6.349,6.791,6.323,0
no_act/input_noactivity_1(9),2.137,1.881,6.931,6.062,7.002,6.144,0
no_act/input_noactivity_1(10),2.087,1.768,7.185,5.854,7.218,5.795,0
no_act/input_noactivity_1(11),2.116,1.962,6.75,6.369,6.841,6.393,0
no_act/input_noactivity_1(12),2.051,1.951,6.724,6.562,6.789,6.527,0
no_act/input_noactivity_1(13),2.067,1.939,7.342,6.375,7.406,6.152,0
no_act/input_noactivity_1(14),1.956,1.854,6.847,6.518,6.904,6.342,0
no_act/input_noactivity_1(15),2.007,1.823,6.722,6.514,6.638,6.54,0
no_act/input_noactivity_1(16),1.993,1.852,7.584,6.26,7.59,6.259,0
no_act/input_noactivity_1(17),2.1,1.895,6.957,5.879,7.185,5.753,0
no_act/input_noactivity_1(18),2.151,1.856,6.673,6.136,6.756,6.099,0
no_act/input_noactivity_1(19),2.29,1.908,7.527,6.365,7.552,6.477,0
no_act/input_noactivity_1(20),2.247,1.908,7.497,6.139,7.577,6.143,0
no_act/input_noactivity_1(21),2.094,1.87,6.917,6.202,6.997,6.149,0
no_act/input_noactivity_1(22),2.052,1.965,6.556,6.102,6.634,6.255,0
no_act/input_noactivity_1(23),2.154,1.937,6.648,5.959,6.743,6.192,0
no_act/input_noactivity_1(24),2.011,1.956,6.448,6.284,6.399,6.238,0
no_act/input_noactivity_1(25),2.048,1.909,7.061,5.866,6.85,5.954,0
no_act/input_noactivity_1(26),2.056,1.946,6.976,6.005,7.156,6.037,0
no_act/input_noactivity_1(27),2.075,1.816,6.992,6.113,7.202,6.057,0
no_act/input_noactivity_1(28),2.276,1.825,7.027,5.991,7.028,6.065,0
no_act/input_noactivity_1(29),2.31,1.908,6.816,5.915,6.741,6.07,0
no_act/input_noactivity_1(30),2.192,1.873,6.676,6.215,6.717,6.312,0
no_act/input_noactivity_1(31),2.257,1.951,6.661,6.278,6.612,6.478,0
no_act/input_noactivity_1(32),2.082,1.985,7.043,5.901,6.924,6.075,0
no_act/input_noactivity_1(33),2.157,1.954,7.449,5.951,7.526,6.0,0
no_act/input_noactivity_1(34),2.055,1.765,6.518,6.211,6.607,6.026,0
no_act/input_noactivity_1(35),1.855,1.747,6.63,6.059,6.582,5.938,0
no_act/input_noactivity_1(36),1.999,1.765,6.853,6.155,6.724,5.955,0
no_act/input_noactivity_1(37),2.111,1.84,6.669,6.158,6.443,6.179,0
no_act/input_noactivity_1(38),2.187,1.927,6.613,6.235,6.641,6.24,0
no_act/input_noactivity_1(39),2.168,1.938,6.873,6.115,6.787,6.173,0
no_act/input_noactivity_1(40),2.181,1.923,6.618,6.133,6.609,6.261,0
no_act/input_noactivity_1(41),2.32,2.014,6.719,5.924,6.89,6.086,0
no_act/input_noactivity_1(42),2.332,1.989,7.524,5.723,7.671,5.798,0
no_act/input_noactivity_1(43),2.018,1.844,7.253,5.988,7.267,6.055,0
no_act/input_noactivity_1(44),2.264,2.036,7.074,6.254,7.022,6.403,0
no_act/input_noactivity_1(45),2.006,1.979,6.301,6.227,6.546,6.158,0
no_act/input_noactivity_1(46),2.012,1.948,6.506,6.182,6.475,6.224,0
no_act/input_noactivity_1(47),2.06,1.872,6.916,6.582,6.834,6.567,0
no_act/input_noactivity_1(48),2.063,1.728,7.11,5.939,7.082,6.038,0
no_act/input_noactivity_1(49),1.915,1.899,7.035,6.086,6.985,6.288,0
no_act/input_noactivity_1(50),1.958,1.927,6.919,6.29,6.87,6.285,0
no_act/input_noactivity_1(51),2.032,1.989,6.703,6.146,6.522,6.281,0
no_act/input_noactivity_1(52),2.198,1.893,6.839,6.093,6.644,6.298,0
no_act/input_noactivity_1(53),2.057,1.876,7.005,6.023,7.017,6.039,0
no_act/input_noactivity_1(54),2.064,1.82,6.988,5.944,7.022,6.098,0
no_act/input_noactivity_1(55),2.083,2.041,6.286,6.189,6.285,6.204,0
no_act/input_noactivity_1(56),1.92,1.807,6.459,6.173,6.558,6.141,0
no_act/input_noactivity_1(57),1.899,1.843,6.475,6.356,6.466,6.244,0
no_act/input_noactivity_1(58),1.956,1.834,6.84,6.378,6.697,6.34,0
no_act/input_noactivity_1(59),1.965,1.906,6.884,6.28,6.932,6.454,0
no_act/input_noactivity_1(60),2.144,1.952,6.879,6.202,6.899,6.547,0
no_act/input_noactivity_1(61),2.112,1.996,6.342,6.085,6.425,6.234,0
no_act/input_noactivity_1(62),2.185,1.884,6.207,6.013,6.226,6.026,0
no_act/input_noactivity_1(63),2.214,1.881,7.032,6.11,6.768,6.2,0
no_act/input_noactivity_1(64),2.073,1.877,7.163,6.495,6.94,6.643,0
no_act/input_noactivity_1(65),2.172,1.878,7.339,6.261,7.284,6.412,0
no_act/input_noactivity_1(66),2.097,1.879,6.941,6.435,7.037,6.4,0
no_act/input_noactivity_1(67),2.011,1.896,7.186,6.042,7.09,6.112,0
no_act/input_noactivity_1(68),2.133,1.884,6.888,6.059,6.883,6.05,0
no_act/input_noactivity_1(69),2.03,1.811,6.781,6.148,7.076,6.115,0
no_act/input_noactivity_1(70),1.928,1.872,6.774,6.394,6.984,6.495,0
no_act/input_noactivity_1(71),2.145,1.919,6.856,5.982,6.832,6.083,0
no_act/input_noactivity_1(72),2.191,1.974,6.79,5.881,6.709,6.095,0
no_act/input_noactivity_1(73),2.115,2.003,6.468,6.147,6.69,6.123,0
no_act/input_noactivity_1(74),2.165,1.959,6.616,6.265,6.864,6.224,0
no_act/input_noactivity_1(75),2.253,1.871,6.604,6.377,6.759,6.303,0
no_act/input_noactivity_1(76),2.244,1.87,7.006,6.358,6.96,6.531,0
no_act/input_noactivity_1(77),2.194,2.047,6.971,6.203,6.812,6.223,0
no_act/input_noactivity_1(78),2.1,1.954,6.587,6.347,6.582,6.278,0
no_act/input_noactivity_1(79),2.036,1.957,6.542,6.035,6.555,6.053,0
no_act/input_noactivity_1(80),2.038,1.885,6.461,5.957,6.379,6.046,0
no_act/input_noactivity_1(81),2.099,1.958,6.566,6.086,6.469,6.139,0
no_act/input_noactivity_1(82),2.126,1.792,7.177,6.088,7.03,6.152,0
no_act/input_noactivity_1(83),2.083,1.831,6.905,6.051,6.902,5.998,0
no_act/input_noactivity_1(84),2.197,1.914,6.519,6.072,6.661,5.977,0
no_act/input_noactivity_1(85),2.246,1.89,6.701,6.231,6.692,6.13,0
no_act/input_noactivity_1(86),2.244,1.917,7.207,6.039,7.142,6.104,0
no_act/input_noactivity_1(87),2.283,1.872,7.492,6.008,7.61,6.056,0
