title,A_1,A_2,A_3,A_4,A_5,Y
no_act/19A_noactivity_7(132),-0.977,-0.822,-0.824,-0.837,-0.791,0
no_act/19A_noactivity_7(133),-0.981,-0.815,-0.821,-0.836,-0.829,0
no_act/19A_noactivity_7(134),-0.986,-0.824,-0.843,-0.832,-0.792,0
no_act/19A_noactivity_7(135),-0.983,-0.835,-0.816,-0.805,-0.843,0
no_act/19A_noactivity_7(136),-0.98,-0.833,-0.864,-0.789,-0.839,0
no_act/19A_noactivity_7(137),-0.98,-0.835,-0.842,-0.793,-0.765,0
no_act/19A_noactivity_7(138),-0.977,-0.828,-0.854,-0.829,-0.794,0
no_act/19A_noactivity_7(139),-0.969,-0.832,-0.827,-0.777,-0.83,0
no_act/19A_noactivity_7(140),-0.973,-0.824,-0.828,-0.794,-0.817,0
no_act/19A_noactivity_7(141),-0.973,-0.816,-0.85,-0.795,-0.821,0
no_act/19A_noactivity_7(142),-0.978,-0.833,-0.83,-0.79,-0.819,0
no_act/19A_noactivity_7(143),-0.978,-0.805,-0.841,-0.812,-0.83,0
no_act/19A_noactivity_7(144),-0.978,-0.809,-0.846,-0.848,-0.775,0
no_act/19A_noactivity_7(145),-0.983,-0.836,-0.831,-0.823,-0.842,0
no_act/19A_noactivity_7(146),-0.984,-0.814,-0.862,-0.867,-0.788,0
no_act/19A_noactivity_7(147),-0.981,-0.809,-0.832,-0.833,-0.783,0
no_act/19A_noactivity_7(148),-0.983,-0.809,-0.778,-0.824,-0.774,0
no_act/19A_noactivity_7(149),-0.979,-0.817,-0.798,-0.807,-0.795,0
no_act/19A_noactivity_7(150),-0.979,-0.811,-0.836,-0.796,-0.8,0
no_act/19A_noactivity_7(151),-0.981,-0.802,-0.828,-0.818,-0.822,0
no_act/19A_noactivity_7(152),-0.981,-0.794,-0.794,-0.848,-0.784,0
no_act/19A_noactivity_7(153),-0.983,-0.809,-0.815,-0.849,-0.763,0
no_act/19A_noactivity_7(154),-0.974,-0.817,-0.829,-0.816,-0.807,0
no_act/19A_noactivity_7(155),-0.98,-0.822,-0.823,-0.777,-0.809,0
no_act/19A_noactivity_7(156),-0.986,-0.797,-0.833,-0.834,-0.85,0
no_act/19A_noactivity_7(157),-0.982,-0.809,-0.806,-0.81,-0.844,0
no_act/19A_noactivity_7(158),-0.981,-0.829,-0.801,-0.817,-0.814,0
no_act/19A_noactivity_7(159),-0.981,-0.829,-0.774,-0.821,-0.86,0
no_act/19A_noactivity_7(160),-0.979,-0.818,-0.841,-0.827,-0.797,0
no_act/19A_noactivity_7(161),-0.979,-0.81,-0.817,-0.801,-0.808,0
no_act/19A_noactivity_7(162),-0.98,-0.804,-0.833,-0.814,-0.815,0
no_act/19A_noactivity_7(163),-0.973,-0.813,-0.783,-0.848,-0.837,0
