title,A_1,A_2,A_3,A_4,A_5,Y
no_act/19A_noactivity_3(22),-0.95,-0.78,-0.828,-0.827,-0.811,0
no_act/19A_noactivity_3(23),-0.94,-0.788,-0.853,-0.802,-0.827,0
no_act/19A_noactivity_3(24),-0.912,-0.775,-0.817,-0.808,-0.798,0
no_act/19A_noactivity_3(25),-0.926,-0.765,-0.795,-0.772,-0.783,0
no_act/19A_noactivity_3(26),-0.926,-0.811,-0.789,-0.818,-0.78,0
no_act/19A_noactivity_3(27),-0.889,-0.813,-0.811,-0.8,-0.79,0
no_act/19A_noactivity_3(28),-0.86,-0.856,-0.795,-0.795,-0.807,0
no_act/19A_noactivity_3(29),-0.861,-0.797,-0.807,-0.813,-0.784,0
no_act/19A_noactivity_3(30),-0.834,-0.771,-0.817,-0.771,-0.821,0
no_act/19A_noactivity_3(31),-0.878,-0.82,-0.766,-0.766,-0.837,0
no_act/19A_noactivity_3(32),-0.988,-0.87,-0.837,-0.881,-0.842,0
no_act/19A_noactivity_3(33),-0.934,-0.803,-0.81,-0.803,-0.831,0
no_act/19A_noactivity_3(34),-0.91,-0.825,-0.804,-0.793,-0.776,0
no_act/19A_noactivity_3(35),-0.879,-0.807,-0.834,-0.769,-0.813,0
no_act/19A_noactivity_3(36),-0.863,-0.801,-0.796,-0.788,-0.817,0
no_act/19A_noactivity_3(37),-0.919,-0.801,-0.798,-0.775,-0.798,0
no_act/19A_noactivity_3(38),-0.857,-0.775,-0.75,-0.83,-0.809,0
no_act/19A_noactivity_3(39),-0.845,-0.785,-0.803,-0.821,-0.807,0
no_act/19A_noactivity_3(40),-0.912,-0.791,-0.806,-0.802,-0.823,0
no_act/19A_noactivity_3(41),-0.848,-0.779,-0.756,-0.785,-0.801,0
no_act/19A_noactivity_3(42),-0.86,-0.755,-0.798,-0.783,-0.77,0
no_act/19A_noactivity_3(43),-0.986,-0.883,-0.876,-0.87,-0.878,0
no_act/19A_noactivity_3(44),-0.928,-0.828,-0.785,-0.807,-0.776,0
no_act/19A_noactivity_3(45),-0.921,-0.773,-0.834,-0.796,-0.771,0
no_act/19A_noactivity_3(46),-0.886,-0.772,-0.817,-0.781,-0.831,0
no_act/19A_noactivity_3(47),-0.92,-0.825,-0.774,-0.782,-0.762,0
no_act/19A_noactivity_3(48),-0.944,-0.778,-0.794,-0.792,-0.782,0
no_act/19A_noactivity_3(49),-0.857,-0.823,-0.803,-0.808,-0.782,0
no_act/19A_noactivity_3(50),-0.879,-0.82,-0.83,-0.772,-0.782,0
no_act/19A_noactivity_3(51),-0.858,-0.81,-0.797,-0.782,-0.804,0
no_act/19A_noactivity_3(52),-0.855,-0.824,-0.801,-0.774,-0.782,0
no_act/19A_noactivity_3(53),-0.909,-0.798,-0.83,-0.807,-0.84,0
no_act/19A_noactivity_3(54),-0.988,-0.932,-0.856,-0.865,-0.833,0
no_act/19A_noactivity_3(55),-0.938,-0.819,-0.813,-0.777,-0.78,0
no_act/19A_noactivity_3(56),-0.91,-0.825,-0.798,-0.781,-0.833,0
no_act/19A_noactivity_3(57),-0.881,-0.806,-0.783,-0.799,-0.808,0
no_act/19A_noactivity_3(58),-0.901,-0.788,-0.758,-0.801,-0.75,0
no_act/19A_noactivity_3(59),-0.923,-0.784,-0.755,-0.791,-0.803,0
no_act/19A_noactivity_3(60),-0.83,-0.811,-0.783,-0.785,-0.828,0
no_act/19A_noactivity_3(61),-0.906,-0.81,-0.795,-0.835,-0.807,0
no_act/19A_noactivity_3(62),-0.892,-0.814,-0.793,-0.82,-0.78,0
no_act/19A_noactivity_3(63),-0.87,-0.841,-0.805,-0.805,-0.79,0
no_act/19A_noactivity_3(64),-0.908,-0.825,-0.787,-0.777,-0.803,0
no_act/19A_noactivity_3(65),-0.986,-0.888,-0.873,-0.841,-0.855,0
no_act/19A_noactivity_3(66),-0.953,-0.803,-0.779,-0.767,-0.805,0
no_act/19A_noactivity_3(67),-0.93,-0.798,-0.743,-0.801,-0.8,0
no_act/19A_noactivity_3(68),-0.9,-0.841,-0.821,-0.781,-0.767,0
no_act/19A_noactivity_3(69),-0.899,-0.813,-0.825,-0.793,-0.834,0
no_act/19A_noactivity_3(70),-0.896,-0.781,-0.804,-0.807,-0.792,0
no_act/19A_noactivity_3(71),-0.911,-0.819,-0.802,-0.804,-0.792,0
no_act/19A_noactivity_3(72),-0.926,-0.816,-0.797,-0.781,-0.814,0
no_act/19A_noactivity_3(73),-0.9,-0.812,-0.792,-0.785,-0.819,0
no_act/19A_noactivity_3(74),-0.88,-0.827,-0.814,-0.798,-0.785,0
