title,BA_1,BA_2,CB_1,CB_2,AC_1,AC_2,Y
no_act/19A_noactivity_3(53),7.068,6.374,11.093,9.987,6.268,5.749,0
no_act/19A_noactivity_3(54),6.693,5.536,9.435,7.883,4.97,4.92,0
no_act/19A_noactivity_3(55),7.444,6.033,11.907,9.393,6.329,5.921,0
no_act/19A_noactivity_3(56),7.524,6.104,11.926,9.439,6.307,5.97,0
no_act/19A_noactivity_3(57),7.109,6.185,11.312,9.809,6.246,5.9,0
no_act/19A_noactivity_3(58),6.752,6.596,11.308,9.844,6.66,5.623,0
no_act/19A_noactivity_3(59),6.817,6.508,11.408,9.796,6.75,5.783,0
no_act/19A_noactivity_3(60),6.846,6.506,11.191,9.87,6.462,5.731,0
no_act/19A_noactivity_3(61),6.845,6.528,11.634,9.456,6.623,5.452,0
no_act/19A_noactivity_3(62),6.647,6.549,11.23,9.797,6.49,5.652,0
no_act/19A_noactivity_3(63),6.475,6.457,11.065,9.821,6.439,5.658,0
no_act/19A_noactivity_3(64),6.634,6.341,10.814,10.18,6.491,5.763,0
no_act/19A_noactivity_3(65),6.562,5.834,9.066,8.223,5.258,4.943,0
no_act/19A_noactivity_3(66),7.228,6.309,11.447,9.7,6.189,5.815,0
no_act/19A_noactivity_3(67),7.372,6.277,11.684,9.556,6.212,5.837,0
no_act/19A_noactivity_3(68),7.147,6.245,11.114,10.025,6.103,5.814,0
no_act/19A_noactivity_3(69),7.114,6.285,11.134,9.934,6.353,5.685,0
no_act/19A_noactivity_3(70),6.902,6.481,10.718,10.271,6.243,5.697,0
no_act/19A_noactivity_3(71),6.745,6.502,11.454,9.733,6.488,5.572,0
no_act/19A_noactivity_3(72),6.808,6.5,11.54,9.795,6.604,5.593,0
no_act/19A_noactivity_3(73),7.102,6.294,10.873,10.193,6.125,5.828,0
no_act/19A_noactivity_3(74),7.278,6.161,11.28,9.616,6.008,5.817,0
no_act/19A_noactivity_3(75),7.045,6.456,11.035,9.973,6.053,5.814,0
no_act/19A_noactivity_3(76),6.378,6.058,8.981,8.378,5.138,4.61,0
no_act/19A_noactivity_3(77),7.059,6.402,10.89,10.177,6.115,5.981,0
no_act/19A_noactivity_3(78),7.151,6.405,11.283,9.786,6.278,5.873,0
no_act/19A_noactivity_3(79),6.978,6.405,11.059,10.057,6.257,5.906,0
no_act/19A_noactivity_3(80),7.107,6.4,11.176,10.015,6.226,5.858,0
no_act/19A_noactivity_3(81),7.221,6.427,11.298,10.127,6.273,6.002,0
no_act/19A_noactivity_3(82),7.147,6.239,11.156,10.087,6.297,5.839,0
no_act/19A_noactivity_3(83),7.207,6.285,10.991,10.12,6.256,5.719,0
no_act/19A_noactivity_3(84),7.268,6.245,11.249,9.932,6.115,5.941,0
no_act/19A_noactivity_3(85),7.163,6.163,11.226,9.857,6.195,5.903,0
no_act/19A_noactivity_3(86),7.052,6.254,11.138,9.983,6.27,6.027,0
no_act/19A_noactivity_3(87),6.675,5.755,9.632,7.767,5.359,4.781,0
no_act/19A_noactivity_3(88),6.826,6.474,10.968,10.1,6.289,5.91,0
no_act/19A_noactivity_3(89),6.956,6.478,10.904,10.331,6.351,5.93,0
no_act/19A_noactivity_3(90),6.856,6.335,10.64,10.254,6.204,5.56,0
no_act/19A_noactivity_3(91),6.879,6.56,10.824,10.217,6.338,5.636,0
no_act/19A_noactivity_3(92),7.058,6.5,11.034,10.093,6.459,5.678,0
no_act/19A_noactivity_3(93),6.912,6.356,10.821,10.291,6.329,5.91,0
no_act/19A_noactivity_3(94),6.909,6.327,11.02,10.167,6.318,5.97,0
no_act/19A_noactivity_3(95),6.83,6.535,11.053,9.999,6.438,5.642,0
no_act/19A_noactivity_3(96),6.822,6.398,11.139,9.864,6.236,5.706,0
no_act/19A_noactivity_3(97),6.88,6.293,11.026,9.981,6.181,5.907,0
no_act/19A_noactivity_3(98),6.367,5.901,8.739,8.417,5.126,4.654,0
no_act/19A_noactivity_3(99),7.299,6.236,11.588,9.736,6.315,5.652,0
no_act/19A_noactivity_3(100),7.064,6.258,10.745,10.295,6.161,5.755,0
no_act/19A_noactivity_3(101),6.974,6.186,10.799,10.164,6.255,5.85,0
no_act/19A_noactivity_3(102),7.02,6.298,11.343,9.583,6.402,5.671,0
no_act/19A_noactivity_3(103),7.137,6.16,11.287,9.643,6.287,5.818,0
no_act/19A_noactivity_3(104),7.036,6.068,10.911,9.958,6.157,5.969,0
no_act/19A_noactivity_3(105),7.092,6.429,10.978,10.197,6.099,6.051,0
no_act/19A_noactivity_3(106),7.232,6.308,10.965,10.163,6.353,5.695,0
no_act/19A_noactivity_3(107),7.257,6.122,11.04,9.84,6.54,5.458,0
no_act/19A_noactivity_3(108),7.037,6.225,10.749,10.306,6.45,5.869,0
no_act/19A_noactivity_3(109),6.37,5.626,9.171,8.3,5.246,5.054,0
no_act/19A_noactivity_3(110),7.114,6.341,11.262,10.015,6.18,6.106,0
no_act/19A_noactivity_3(111),7.142,6.205,11.236,9.838,6.147,6.106,0
no_act/19A_noactivity_3(112),7.093,6.083,11.299,9.604,6.09,5.929,0
no_act/19A_noactivity_3(113),7.119,6.234,11.272,9.639,6.075,5.769,0
no_act/19A_noactivity_3(114),6.869,6.375,10.465,10.367,6.03,5.681,0
no_act/19A_noactivity_3(115),7.064,6.248,10.876,10.094,6.201,5.709,0
no_act/19A_noactivity_3(116),7.135,6.354,11.339,9.822,6.325,5.856,0
no_act/19A_noactivity_3(117),6.937,6.496,10.888,10.338,6.486,5.81,0
no_act/19A_noactivity_3(118),6.864,6.566,10.889,10.187,6.485,5.749,0
no_act/19A_noactivity_3(119),7.036,6.513,10.979,9.998,6.187,5.922,0
no_act/19A_noactivity_3(120),6.654,5.643,9.378,7.691,5.06,4.581,0
no_act/19A_noactivity_3(121),7.141,6.058,11.354,9.688,6.468,5.855,0
no_act/19A_noactivity_3(122),7.171,6.176,11.091,10.107,6.573,5.965,0
no_act/19A_noactivity_3(123),7.169,6.13,11.604,9.481,6.231,6.013,0
no_act/19A_noactivity_3(124),7.19,6.078,11.795,9.243,6.364,5.733,0
no_act/19A_noactivity_3(125),7.205,6.299,11.894,9.417,6.496,5.707,0
no_act/19A_noactivity_3(126),7.088,6.289,11.75,9.494,6.355,5.79,0
no_act/19A_noactivity_3(127),7.014,6.182,11.195,9.678,6.06,5.887,0
no_act/19A_noactivity_3(128),7.073,6.249,10.723,10.153,6.11,5.779,0
no_act/19A_noactivity_3(129),7.205,6.206,11.143,9.931,6.263,5.745,0
no_act/19A_noactivity_3(130),7.38,6.074,11.253,9.706,6.037,5.952,0
no_act/19A_noactivity_3(131),6.591,5.637,9.212,7.968,5.24,4.65,0
no_act/19A_noactivity_3(132),7.26,6.277,11.592,9.856,6.43,5.959,0
no_act/19A_noactivity_3(133),6.958,6.406,10.87,10.539,6.546,6.007,0
no_act/19A_noactivity_3(134),6.946,6.226,10.813,10.031,6.303,5.677,0
no_act/19A_noactivity_3(135),6.979,6.515,10.927,9.979,6.274,5.677,0
no_act/19A_noactivity_3(136),6.882,6.579,11.201,9.833,6.367,5.649,0
no_act/19A_noactivity_3(137),7.063,6.156,11.327,9.463,6.15,5.614,0
no_act/19A_noactivity_3(138),7.296,6.205,11.362,9.531,6.073,5.691,0
no_act/19A_noactivity_3(139),7.028,6.377,11.407,9.544,6.303,5.625,0
no_act/19A_noactivity_3(140),6.818,6.398,11.486,9.606,6.63,5.7,0
no_act/19A_noactivity_3(141),6.807,6.485,10.999,10.197,6.594,5.809,0
no_act/19A_noactivity_3(142),6.235,5.839,8.931,8.393,5.289,4.775,0
no_act/19A_noactivity_3(143),7.187,6.391,11.919,9.601,6.7,5.9,0
no_act/19A_noactivity_3(144),7.195,6.289,11.12,10.118,6.523,5.865,0
no_act/19A_noactivity_3(145),7.132,6.212,11.055,10.003,6.327,5.836,0
no_act/19A_noactivity_3(146),7.141,6.355,11.087,9.946,6.183,5.865,0
no_act/19A_noactivity_3(147),7.172,6.431,11.078,9.962,6.014,5.861,0
no_act/19A_noactivity_3(148),6.645,6.571,11.107,9.785,6.348,5.455,0
no_act/19A_noactivity_3(149),6.741,6.448,11.679,9.294,6.783,5.421,0
no_act/19A_noactivity_3(150),6.832,6.454,10.808,10.052,6.42,5.722,0
no_act/19A_noactivity_3(151),6.878,6.379,10.806,9.913,6.115,5.624,0
no_act/19A_noactivity_3(152),6.838,6.477,11.127,9.926,6.358,5.855,0
