FILE,VAR_A,VAR_B,VAR_C,Y
b4_1-02,3.39,2.51,0.34,1
b4_1-03,2.58,3.17,0.39,1
b4_1-04,2.45,2.75,0.38,1
b4_1-05,3.03,2.6,0.4,1
b4_1-06,7.08,3.15,1.45,1
a5e1_1-01,9.48,10.1,1.36,1
a5e1_1-02,10.18,14.18,1.26,1
a5e1_1-03,3.45,2.95,0.4,1
a5e1_1-04,13.03,11.02,1.3,1
a5e1_1-05,7.05,8.73,0.99,1
a5e1_1-06,5.69,8.24,0.85,1
b5_1-01,2.46,2.88,0.33,1
b5_1-02,2.29,2.37,0.35,1
b5_1-03,2.32,2.57,0.38,1
b5_1-04,2.3,2.36,0.36,1
b5_1-05,2.38,3.14,0.41,1
b5_1-06,5.12,2.7,0.94,1
b3_1-01,21.74,3.02,0.68,1
b3_1-02,17.58,3.28,0.63,1
b3_1-03,7.69,2.96,0.67,1
b3_1-04,18.99,2.67,0.84,1
b3_1-05,44.12,3.55,0.93,1
b3_1-06,7.81,3.19,1.43,1
a6_1-01,1.93,3.6,0.31,1
a6_1-02,1.81,3.61,0.32,1
a6_1-03,1.76,3.86,0.29,1
a6_1-04,1.85,3.47,0.3,1
a6_1-05,1.63,3.54,0.28,1
a6_1-06,1.73,3.07,0.25,1
b1e2_2-01,3.1,1.88,0.41,1
b1e2_2-02,3.2,2.05,0.39,1
b1e2_2-03,3.18,2.13,0.39,1
b1e2_2-04,3.12,1.59,0.39,1
b1e2_2-05,3.76,2.86,0.54,1
b1e2_2-06,3.8,4.47,0.68,1
d6_1-01,2.58,2.87,0.37,1
d6_1-02,2.87,2.37,0.39,1
d6_1-03,2.5,2.13,0.34,1
d6_1-04,3.73,2.09,0.33,1
d6_1-05,2.85,2.11,0.37,1
d6_1-06,16.13,2.74,1.49,1
c2_1-01,4.93,2.75,0.5,1
c2_1-02,2.57,2.86,0.39,1
c2_1-03,2.45,3.05,0.42,1
c2_1-04,2.4,2.61,0.39,1
c2_1-05,2.74,2.4,0.32,1
c2_1-06,4.96,2.85,0.93,1
d5_1-01,50.11,8.33,5.36,1
d5_1-02,50.33,4.17,3.84,1
