title,BA_1,BA_2,CB_1,CB_2,AC_1,AC_2,Y
no_act/csi_noactivity_2(32),8.481,6.916,12.278,9.746,10.153,9.535,0
no_act/csi_noactivity_2(33),7.997,7.253,12.133,9.766,10.565,9.121,0
no_act/csi_noactivity_2(34),8.116,7.118,11.491,10.392,10.282,9.367,0
no_act/csi_noactivity_2(35),8.153,6.993,11.92,9.764,9.945,9.369,0
no_act/csi_noactivity_2(36),8.328,6.945,12.471,9.449,10.382,9.089,0
no_act/csi_noactivity_2(37),8.461,7.032,12.146,10.164,10.076,9.829,0
no_act/csi_noactivity_2(38),8.289,7.283,11.639,10.925,10.779,9.369,0
no_act/csi_noactivity_2(39),8.33,7.368,11.826,10.648,10.691,9.378,0
no_act/csi_noactivity_2(40),8.466,6.957,12.103,9.87,10.023,9.616,0
no_act/csi_noactivity_2(41),8.218,6.95,12.1,9.794,10.044,9.408,0
no_act/csi_noactivity_2(42),8.022,7.276,11.928,10.213,10.405,9.22,0
no_act/csi_noactivity_2(43),7.978,7.224,11.768,10.377,10.887,8.877,0
no_act/csi_noactivity_2(44),8.17,6.918,11.347,10.43,10.316,9.262,0
no_act/csi_noactivity_2(45),8.09,7.033,11.313,10.621,10.78,8.902,0
no_act/csi_noactivity_2(46),8.425,6.973,11.6,10.48,10.432,9.33,0
no_act/csi_noactivity_2(47),8.722,6.629,12.355,9.575,10.49,9.049,0
no_act/csi_noactivity_2(48),8.418,6.829,12.183,9.685,10.048,9.533,0
no_act/csi_noactivity_2(49),8.021,7.173,12.17,9.679,10.426,9.059,0
no_act/csi_noactivity_2(50),7.874,7.315,11.944,10.051,10.456,9.12,0
no_act/csi_noactivity_2(51),8.109,7.204,11.925,10.297,10.027,9.636,0
no_act/csi_noactivity_2(52),8.542,6.768,12.51,9.59,10.45,8.903,0
no_act/csi_noactivity_2(53),8.445,6.873,11.873,10.201,10.502,9.09,0
no_act/csi_noactivity_2(54),7.942,7.309,11.565,10.47,10.61,9.064,0
no_act/csi_noactivity_2(55),8.186,7.431,11.631,10.618,10.839,9.043,0
no_act/csi_noactivity_2(56),8.293,7.158,11.613,10.655,10.229,9.645,0
no_act/csi_noactivity_2(57),8.197,7.274,11.564,10.739,10.258,9.723,0
no_act/csi_noactivity_2(58),7.996,7.449,11.96,10.332,10.864,9.104,0
no_act/csi_noactivity_2(59),8.123,7.046,11.214,10.82,10.632,9.123,0
no_act/csi_noactivity_2(60),8.516,6.631,11.911,9.927,10.967,8.584,0
no_act/csi_noactivity_2(61),8.118,7.033,11.354,10.48,10.694,8.799,0
no_act/csi_noactivity_2(62),7.883,7.383,12.174,9.822,11.234,8.434,0
no_act/csi_noactivity_2(63),7.904,7.651,12.089,10.101,11.01,8.901,0
no_act/csi_noactivity_2(64),8.003,7.359,11.784,10.264,10.466,9.239,0
no_act/csi_noactivity_2(65),8.046,7.171,11.633,10.341,10.657,8.928,0
no_act/csi_noactivity_2(66),7.936,7.398,11.965,10.121,10.935,8.951,0
no_act/csi_noactivity_2(67),7.75,7.236,12.079,9.758,10.493,8.854,0
