,title,A_1,A_2,A_3,A_4,A_5,BA_1,BA_2,CB_1,CB_2,AC_1,AC_2,Y
161,no_act_1(161),-0.972,-0.8340000000000001,-0.773,-0.769,-0.777,8.535,7.376,11.822000000000001,10.312000000000001,9.687999999999999,9.502,0
162,no_act_1(162),-0.973,-0.828,-0.769,-0.7859999999999999,-0.82,8.597999999999999,7.415,12.242,10.016,9.788,9.214,0
163,no_act_1(163),-0.9690000000000001,-0.8290000000000001,-0.787,-0.76,-0.821,8.345,7.487,11.673,10.495,9.945,8.941,0
164,no_act_1(164),-0.972,-0.828,-0.7759999999999999,-0.772,-0.828,8.391,7.3420000000000005,11.860999999999999,10.317,10.05,9.145,0
165,no_act_1(165),-0.985,-0.83,-0.807,-0.752,-0.836,8.311,7.4510000000000005,11.194,10.734000000000002,10.093,8.958,0
166,no_act_1(166),-0.981,-0.8290000000000001,-0.784,-0.737,-0.8420000000000001,8.285,7.439,11.517999999999999,10.460999999999999,10.379000000000001,8.709,0
167,no_act_1(167),-0.9,-0.86,-0.7709999999999999,-0.753,-0.8420000000000001,8.283999999999999,7.678,12.079,10.191,10.163,9.104,0
168,no_act_1(168),-0.9690000000000001,-0.831,-0.787,-0.762,-0.8170000000000001,8.288,7.5520000000000005,11.991,10.213,10.104,9.166,0
169,no_act_1(169),-0.973,-0.8290000000000001,-0.7909999999999999,-0.765,-0.8340000000000001,8.238999999999999,7.542999999999999,11.588,10.407,10.482999999999999,8.796,0
170,no_act_1(170),-0.978,-0.828,-0.782,-0.779,-0.8190000000000001,8.151,7.582999999999999,11.619000000000002,10.367,10.462,8.704,0
171,no_act_1(171),-0.9740000000000001,-0.8340000000000001,-0.7859999999999999,-0.762,-0.8490000000000001,8.165,7.62,11.690999999999999,10.308,10.083,9.041,0
172,no_act_1(172),-0.977,-0.835,-0.777,-0.7490000000000001,-0.8290000000000001,8.219,7.606,12.14,9.752,10.15,8.857000000000001,0
173,no_act_1(173),-0.981,-0.8270000000000001,-0.8240000000000001,-0.742,-0.812,8.139,7.65,11.843,10.086,10.31,8.833,0
