title,A_1,A_2,A_3,A_4,A_5,BA_1,BA_2,CB_1,CB_2,AC_1,AC_2,Y
a5b6_2(17),-0.992,-0.953,-0.866,-0.871,-0.8690000000000001,8.988999999999997,7.754,10.915,10.251,10.628,9.433,1
a4c6_1(124),-0.994,-0.969,-0.86,-0.882,-0.907,8.399,8.042,11.621,9.748,10.902,9.298,1
a5b6_1(109),-0.99,-0.971,-0.879,-0.84,-0.883,8.571,7.643,11.1,10.248,11.052,9.236,1
e2_1(90),-0.986,-0.8320000000000001,-0.78,-0.792,-0.906,12.613,10.199,11.446,9.87,3.387,2.841,1
a4c6_1(126),-0.994,-0.982,-0.892,-0.8440000000000001,-0.895,8.761000000000001,7.395,11.608,9.747,10.077,9.766,1
c3_1(31),-0.985,-0.8370000000000001,-0.95,-0.902,-0.78,11.797,10.573,10.529000000000002,9.321,5.964,4.301,1
a6e2_1(153),-0.998,-0.98,-0.898,-0.862,-0.885,7.569,6.982,11.764,9.566,10.586,9.021,1
c1e3_1(74),-0.99,-0.847,-0.962,-0.878,-0.828,8.955,7.082999999999998,11.188,9.996,10.800999999999998,9.248,1
c6e4_1(50),-0.995,-0.982,-0.901,-0.836,-0.93,7.835,7.525,11.972,9.824,11.145,8.749,1
a4_1(15),-0.987,-0.823,-0.961,-0.7759999999999999,-0.879,12.567,10.251,11.771,9.81,3.039,2.535,1
a2e6_2(63),-0.998,-0.982,-0.907,-0.826,-0.87,9.092,7.877000000000002,11.757,9.783,9.839,9.212,1
a4d1_1(68),-0.998,-0.98,-0.905,-0.8370000000000001,-0.911,8.054,7.337999999999999,12.129,9.502,10.421,9.168,1
b6e3_1(114),-0.996,-0.982,-0.868,-0.86,-0.902,8.184,7.041,11.816,10.086,9.93,9.859,1
a5b6_1(36),-0.991,-0.899,-0.932,-0.848,-0.86,8.48,7.921,11.438,10.003,10.385,9.586,1
d4_1(137),-0.988,-0.975,-0.8390000000000001,-0.879,-0.802,11.538,10.413,10.128,9.411,6.7120000000000015,4.66,1
a6_1(139),-0.988,-0.831,-0.901,-0.82,-0.7659999999999999,12.836,10.026,11.76,9.896,3.115,2.677,1
a5e1_1(165),-0.997,-0.978,-0.899,-0.8390000000000001,-0.8909999999999999,7.582000000000002,6.9929999999999986,10.967,10.189,10.396,8.797,1
b3_1(153),-0.987,-0.857,-0.929,-0.8759999999999999,-0.807,12.337,9.977,11.014,9.732,4.1,2.958,1
b1e2_2(168),-0.991,-0.929,-0.8959999999999999,-0.862,-0.828,8.507,8.232000000000001,11.563,9.655,10.999,9.385,1
d6e5_1(7),-0.998,-0.981,-0.933,-0.91,-0.823,8.225,7.143,10.619000000000002,10.066,9.946,9.057,1
d6_1(9),-0.979,-0.83,-0.961,-0.782,-0.816,11.607,11.063,11.181,10.375,3.559,2.728,1
a2e6_1(126),-0.998,-0.982,-0.8490000000000001,-0.898,-0.892,10.178,8.119,11.179,9.578,10.113,9.311,1
a6e2_1(120),-0.998,-0.979,-0.92,-0.862,-0.863,8.055,6.847,10.645,10.418,10.522,9.155,1
e1_1(9),-0.8190000000000001,-0.95,-0.7709999999999999,-0.777,-0.882,11.747,10.981,11.458,10.185,3.401,2.667,1
c3_1(147),-0.984,-0.838,-0.953,-0.838,-0.825,11.494000000000002,10.667,10.703,9.613,4.021,3.771,1
d6_1(76),-0.979,-0.833,-0.958,-0.779,-0.873,11.576,11.105,11.187,10.149,3.272,2.932,1
a4c6_2(114),-0.996,-0.983,-0.865,-0.857,-0.924,7.883999999999999,7.673999999999999,11.777,9.606,11.242,8.912,1
d1e2_1(9),-0.993,-0.926,-0.871,-0.8640000000000001,-0.813,8.555,7.522,11.222,10.04,10.479,9.667,1
